;note_num;note_name
202;18.0;fis''
203;9.0;a'
204;16.0;e''
205;3.0;dis'
206;26.0;d'''
207;18.0;fis''
208;20.0;gis''
209;10.0;as'
210;26.0;d'''
211;22.0;as''
212;6.0;fis'
213;0.0;c'
214;24.0;c'''
215;34.0;as'''
216;18.0;fis''
217;15.0;dis''
218;29.0;f'''
219;25.0;cis'''
220;0.0;c'
221;24.0;c'''
222;10.0;as'
223;18.0;fis''
224;13.0;cis''
225;34.0;as'''
226;1.0;cis'
227;13.0;cis''
228;1.0;cis'
229;14.0;d''
230;8.0;gis'
231;25.0;cis'''
232;10.0;as'
233;5.0;f'
234;0.0;c'
235;14.0;d''
236;25.0;cis'''
237;8.0;gis'
238;27.0;dis'''
239;5.0;f'
240;3.0;dis'
241;31.0;g'''
242;13.0;cis''
243;0.0;c'
244;1.0;cis'
245;0.0;c'
246;33.0;a'''
247;16.0;e''
248;15.0;dis''
249;4.0;e'
250;17.0;f''
251;14.0;d''
252;16.0;e''
253;16.0;e''
254;30.0;fis'''
255;7.0;g'
256;0.0;c'
257;18.0;fis''
258;3.0;dis'
259;5.0;f'
260;26.0;d'''
261;23.0;b''
262;24.0;c'''
263;28.0;e'''
264;22.0;as''
265;22.0;as''
266;33.0;a'''
267;0.0;c'
268;14.0;d''
269;12.0;c''
270;34.0;as'''
271;16.0;e''
272;13.0;cis''
273;4.0;e'
274;16.0;e''
275;5.0;f'
276;18.0;fis''
277;17.0;f''
278;13.0;cis''
279;17.0;f''
280;6.0;fis'
281;8.0;gis'
282;23.0;b''
283;11.0;b'
284;11.0;b'
285;18.0;fis''
286;11.0;b'
287;33.0;a'''
288;24.0;c'''
289;4.0;e'
290;19.0;g''
291;28.0;e'''
292;23.0;b''
293;16.0;e''
294;32.0;gis'''
295;20.0;gis''
296;28.0;e'''
297;26.0;d'''
298;14.0;d''
299;16.0;e''
300;24.0;c'''
301;13.0;cis''
302;22.0;as''
303;25.0;cis'''
304;18.0;fis''
305;25.0;cis'''
306;1.0;cis'
307;24.0;c'''
308;1.0;cis'
309;25.0;cis'''
310;11.0;b'
311;19.0;g''
312;18.0;fis''
313;8.0;gis'
314;12.0;c''
315;5.0;f'
316;33.0;a'''
317;29.0;f'''
318;5.0;f'
319;1.0;cis'
320;26.0;d'''
321;2.0;d'
322;31.0;g'''
323;25.0;cis'''
324;4.0;e'
325;16.0;e''
326;18.0;fis''
327;23.0;b''
328;13.0;cis''
329;11.0;b'
330;34.0;as'''
331;26.0;d'''
332;32.0;gis'''
333;30.0;fis'''
334;0.0;c'
335;1.0;cis'
336;14.0;d''
337;23.0;b''
338;24.0;c'''
339;6.0;fis'
340;11.0;b'
341;5.0;f'
342;6.0;fis'
343;1.0;cis'
344;25.0;cis'''
345;11.0;b'
346;4.0;e'
347;30.0;fis'''
348;12.0;c''
349;13.0;cis''
350;32.0;gis'''
351;33.0;a'''
352;3.0;dis'
353;34.0;as'''
354;0.0;c'
355;0.0;c'
356;32.0;gis'''
357;20.0;gis''
358;24.0;c'''
359;28.0;e'''
360;14.0;d''
361;29.0;f'''
362;9.0;a'
363;15.0;dis''
364;23.0;b''
365;16.0;e''
366;5.0;f'
367;0.0;c'
368;20.0;gis''
369;30.0;fis'''
370;15.0;dis''
371;9.0;a'
372;13.0;cis''
373;27.0;dis'''
374;33.0;a'''
375;27.0;dis'''
376;27.0;dis'''
377;16.0;e''
378;33.0;a'''
379;29.0;f'''
380;21.0;a''
381;0.0;c'
382;24.0;c'''
383;14.0;d''
384;8.0;gis'
385;15.0;dis''
386;8.0;gis'
387;0.0;c'
388;34.0;as'''
389;0.0;c'
390;5.0;f'
391;34.0;as'''
392;6.0;fis'
393;14.0;d''
394;15.0;dis''
395;34.0;as'''
396;22.0;as''
397;21.0;a''
398;8.0;gis'
399;11.0;b'
400;15.0;dis''
401;14.0;d''
402;2.0;d'
403;32.0;gis'''
404;25.0;cis'''
405;2.0;d'
406;12.0;c''
407;21.0;a''
408;13.0;cis''
409;15.0;dis''
410;0.0;c'
411;19.0;g''
412;15.0;dis''
413;8.0;gis'
414;29.0;f'''
415;21.0;a''
416;33.0;a'''
417;10.0;as'
418;10.0;as'
419;9.0;a'
420;20.0;gis''
421;16.0;e''
422;3.0;dis'
423;0.0;c'
424;24.0;c'''
425;9.0;a'
426;6.0;fis'
427;25.0;cis'''
428;2.0;d'
429;20.0;gis''
430;24.0;c'''
431;23.0;b''
432;21.0;a''
433;5.0;f'
434;0.0;c'
435;25.0;cis'''
436;27.0;dis'''
437;30.0;fis'''
438;11.0;b'
439;4.0;e'
440;7.0;g'
441;20.0;gis''
442;22.0;as''
443;29.0;f'''
444;11.0;b'
445;3.0;dis'
446;33.0;a'''
447;0.0;c'
448;7.0;g'
449;25.0;cis'''
450;27.0;dis'''
451;28.0;e'''
452;5.0;f'
453;21.0;a''
454;9.0;a'
455;33.0;a'''
456;26.0;d'''
457;29.0;f'''
458;0.0;c'
459;30.0;fis'''
460;18.0;fis''
461;25.0;cis'''
462;2.0;d'
463;2.0;d'
464;2.0;d'
465;17.0;f''
466;13.0;cis''
467;5.0;f'
468;32.0;gis'''
469;24.0;c'''
470;30.0;fis'''
471;30.0;fis'''
472;28.0;e'''
473;11.0;b'
474;6.0;fis'
475;3.0;dis'
476;29.0;f'''
477;21.0;a''
478;15.0;dis''
479;10.0;as'
480;1.0;cis'
481;27.0;dis'''
482;27.0;dis'''
483;16.0;e''
484;7.0;g'
485;28.0;e'''
486;30.0;fis'''
487;28.0;e'''
488;27.0;dis'''
489;19.0;g''
490;0.0;c'
491;8.0;gis'
492;14.0;d''
493;5.0;f'
494;7.0;g'
495;24.0;c'''
496;15.0;dis''
497;22.0;as''
498;11.0;b'
499;26.0;d'''
500;14.0;d''
501;32.0;gis'''
502;28.0;e'''
503;1.0;cis'
504;23.0;b''
505;23.0;b''
506;28.0;e'''
507;10.0;as'
508;2.0;d'
509;21.0;a''
510;3.0;dis'
511;3.0;dis'
512;19.0;g''
513;20.0;gis''
514;29.0;f'''
515;22.0;as''
516;24.0;c'''
517;0.0;c'
518;21.0;a''
519;20.0;gis''
520;0.0;c'
521;31.0;g'''
522;24.0;c'''
523;16.0;e''
524;33.0;a'''
525;4.0;e'
526;18.0;fis''
527;28.0;e'''
528;19.0;g''
529;2.0;d'
530;2.0;d'
531;26.0;d'''
532;6.0;fis'
533;10.0;as'
534;26.0;d'''
535;25.0;cis'''
536;23.0;b''
537;7.0;g'
538;7.0;g'
539;18.0;fis''
540;3.0;dis'
541;30.0;fis'''
542;21.0;a''
543;6.0;fis'
544;28.0;e'''
545;20.0;gis''
546;15.0;dis''
547;24.0;c'''
548;20.0;gis''
549;30.0;fis'''
550;13.0;cis''
551;7.0;g'
552;32.0;gis'''
553;0.0;c'
554;29.0;f'''
555;9.0;a'
556;3.0;dis'
557;33.0;a'''
558;26.0;d'''
559;24.0;c'''
560;5.0;f'
561;24.0;c'''
562;22.0;as''
563;4.0;e'
564;31.0;g'''
565;25.0;cis'''
566;32.0;gis'''
567;17.0;f''
568;11.0;b'
569;6.0;fis'
570;13.0;cis''
571;32.0;gis'''
572;14.0;d''
573;25.0;cis'''
574;29.0;f'''
575;11.0;b'
576;11.0;b'
577;33.0;a'''
578;0.0;c'
579;4.0;e'
580;17.0;f''
581;34.0;as'''
582;7.0;g'
583;28.0;e'''
584;16.0;e''
585;0.0;c'
586;2.0;d'
587;30.0;fis'''
588;32.0;gis'''
589;23.0;b''
590;19.0;g''
591;10.0;as'
592;18.0;fis''
593;12.0;c''
594;6.0;fis'
595;23.0;b''
596;30.0;fis'''
597;27.0;dis'''
598;23.0;b''
599;26.0;d'''
600;30.0;fis'''
601;21.0;a''
602;2.0;d'
603;3.0;dis'
604;0.0;c'
605;8.0;gis'
606;14.0;d''
607;30.0;fis'''
608;14.0;d''
609;25.0;cis'''
610;13.0;cis''
611;12.0;c''
612;13.0;cis''
613;24.0;c'''
614;16.0;e''
615;8.0;gis'
616;19.0;g''
617;15.0;dis''
618;17.0;f''
619;32.0;gis'''
620;8.0;gis'
621;31.0;g'''
622;22.0;as''
623;13.0;cis''
624;34.0;as'''
625;2.0;d'
626;27.0;dis'''
627;7.0;g'
628;27.0;dis'''
629;9.0;a'
630;27.0;dis'''
631;17.0;f''
632;33.0;a'''
633;19.0;g''
634;15.0;dis''
635;28.0;e'''
636;4.0;e'
637;31.0;g'''
638;3.0;dis'
639;7.0;g'
640;17.0;f''
641;16.0;e''
642;31.0;g'''
643;16.0;e''
644;25.0;cis'''
645;9.0;a'
646;29.0;f'''
647;19.0;g''
648;11.0;b'
649;11.0;b'
650;23.0;b''
651;25.0;cis'''
652;6.0;fis'
653;3.0;dis'
654;2.0;d'
655;19.0;g''
656;28.0;e'''
657;7.0;g'
658;4.0;e'
659;22.0;as''
660;33.0;a'''
661;13.0;cis''
662;29.0;f'''
663;18.0;fis''
664;6.0;fis'
665;0.0;c'
666;34.0;as'''
667;4.0;e'
668;5.0;f'
669;34.0;as'''
670;0.0;c'
671;27.0;dis'''
672;11.0;b'
673;5.0;f'
674;30.0;fis'''
675;2.0;d'
676;10.0;as'
677;23.0;b''
678;23.0;b''
679;3.0;dis'
680;16.0;e''
681;1.0;cis'
682;26.0;d'''
683;16.0;e''
684;34.0;as'''
685;30.0;fis'''
686;31.0;g'''
687;33.0;a'''
688;26.0;d'''
689;29.0;f'''
690;2.0;d'
691;10.0;as'
692;15.0;dis''
693;30.0;fis'''
694;8.0;gis'
695;2.0;d'
696;19.0;g''
697;8.0;gis'
698;2.0;d'
699;30.0;fis'''
700;15.0;dis''
701;27.0;dis'''
702;17.0;f''
703;16.0;e''
704;29.0;f'''
705;10.0;as'
706;28.0;e'''
707;25.0;cis'''
708;24.0;c'''
709;8.0;gis'
710;30.0;fis'''
711;2.0;d'
712;16.0;e''
713;12.0;c''
714;19.0;g''
715;23.0;b''
716;2.0;d'
717;34.0;as'''
718;30.0;fis'''
719;3.0;dis'
720;24.0;c'''
721;26.0;d'''
722;21.0;a''
723;7.0;g'
724;11.0;b'
725;10.0;as'
726;6.0;fis'
727;7.0;g'
728;20.0;gis''
729;17.0;f''
730;14.0;d''
731;0.0;c'
732;32.0;gis'''
733;29.0;f'''
734;20.0;gis''
735;34.0;as'''
736;11.0;b'
737;29.0;f'''
738;13.0;cis''
739;3.0;dis'
740;19.0;g''
741;19.0;g''
742;24.0;c'''
743;2.0;d'
744;22.0;as''
745;21.0;a''
746;0.0;c'
747;22.0;as''
748;3.0;dis'
749;22.0;as''
750;23.0;b''
751;28.0;e'''
752;1.0;cis'
753;11.0;b'
754;23.0;b''
755;0.0;c'
756;13.0;cis''
757;26.0;d'''
758;4.0;e'
759;29.0;f'''
760;2.0;d'
761;33.0;a'''
762;4.0;e'
763;10.0;as'
764;28.0;e'''
765;25.0;cis'''
766;19.0;g''
767;16.0;e''
768;2.0;d'
769;1.0;cis'
770;15.0;dis''
771;23.0;b''
772;14.0;d''
773;29.0;f'''
774;4.0;e'
775;5.0;f'
776;10.0;as'
777;20.0;gis''
778;26.0;d'''
779;9.0;a'
780;15.0;dis''
781;9.0;a'
782;16.0;e''
783;31.0;g'''
784;13.0;cis''
785;11.0;b'
786;11.0;b'
787;8.0;gis'
788;6.0;fis'
789;0.0;c'
790;28.0;e'''
791;10.0;as'
792;10.0;as'
793;10.0;as'
794;33.0;a'''
795;22.0;as''
796;31.0;g'''
797;8.0;gis'
798;30.0;fis'''
799;14.0;d''
800;24.0;c'''
801;0.0;c'
802;31.0;g'''
803;27.0;dis'''
804;6.0;fis'
805;7.0;g'
806;5.0;f'
807;12.0;c''
808;2.0;d'
809;6.0;fis'
810;4.0;e'
811;11.0;b'
812;29.0;f'''
813;27.0;dis'''
814;25.0;cis'''
815;27.0;dis'''
816;27.0;dis'''
817;22.0;as''
818;11.0;b'
819;1.0;cis'
820;32.0;gis'''
821;34.0;as'''
822;1.0;cis'
823;33.0;a'''
824;8.0;gis'
825;20.0;gis''
826;1.0;cis'
827;25.0;cis'''
828;0.0;c'
829;0.0;c'
830;7.0;g'
831;24.0;c'''
832;1.0;cis'
833;12.0;c''
834;33.0;a'''
835;13.0;cis''
836;29.0;f'''
837;9.0;a'
838;12.0;c''
839;7.0;g'
840;34.0;as'''
841;6.0;fis'
842;2.0;d'
843;31.0;g'''
844;17.0;f''
845;22.0;as''
846;30.0;fis'''
847;12.0;c''
848;30.0;fis'''
849;25.0;cis'''
850;18.0;fis''
851;4.0;e'
852;15.0;dis''
853;13.0;cis''
854;32.0;gis'''
855;16.0;e''
856;15.0;dis''
857;3.0;dis'
858;24.0;c'''
859;10.0;as'
860;17.0;f''
861;24.0;c'''
862;10.0;as'
863;15.0;dis''
864;3.0;dis'
865;13.0;cis''
866;10.0;as'
867;32.0;gis'''
868;22.0;as''
869;16.0;e''
870;31.0;g'''
871;2.0;d'
872;3.0;dis'
873;21.0;a''
874;28.0;e'''
875;26.0;d'''
876;12.0;c''
877;3.0;dis'
878;31.0;g'''
879;15.0;dis''
880;17.0;f''
881;10.0;as'
882;1.0;cis'
883;29.0;f'''
884;1.0;cis'
885;20.0;gis''
886;1.0;cis'
887;6.0;fis'
888;0.0;c'
889;31.0;g'''
890;1.0;cis'
891;25.0;cis'''
892;9.0;a'
893;26.0;d'''
894;30.0;fis'''
895;13.0;cis''
896;22.0;as''
897;19.0;g''
898;30.0;fis'''
899;26.0;d'''
900;23.0;b''
901;24.0;c'''
902;30.0;fis'''
903;28.0;e'''
904;26.0;d'''
905;32.0;gis'''
906;13.0;cis''
907;20.0;gis''
908;28.0;e'''
909;0.0;c'
910;33.0;a'''
911;31.0;g'''
912;30.0;fis'''
913;34.0;as'''
914;18.0;fis''
915;24.0;c'''
916;8.0;gis'
917;19.0;g''
918;33.0;a'''
919;3.0;dis'
920;22.0;as''
921;31.0;g'''
922;9.0;a'
923;7.0;g'
924;0.0;c'
925;31.0;g'''
926;16.0;e''
927;6.0;fis'
928;12.0;c''
929;13.0;cis''
930;32.0;gis'''
931;30.0;fis'''
932;30.0;fis'''
933;28.0;e'''
934;11.0;b'
935;4.0;e'
936;15.0;dis''
937;27.0;dis'''
938;11.0;b'
939;28.0;e'''
940;16.0;e''
941;16.0;e''
942;18.0;fis''
943;1.0;cis'
944;31.0;g'''
945;14.0;d''
946;20.0;gis''
947;20.0;gis''
948;8.0;gis'
949;27.0;dis'''
950;20.0;gis''
951;7.0;g'
952;31.0;g'''
953;15.0;dis''
954;34.0;as'''
955;21.0;a''
956;28.0;e'''
957;16.0;e''
958;10.0;as'
959;5.0;f'
960;22.0;as''
961;32.0;gis'''
962;34.0;as'''
963;14.0;d''
964;34.0;as'''
965;24.0;c'''
966;32.0;gis'''
967;6.0;fis'
968;32.0;gis'''
969;1.0;cis'
970;2.0;d'
971;34.0;as'''
972;13.0;cis''
973;3.0;dis'
974;0.0;c'
975;33.0;a'''
976;7.0;g'
977;3.0;dis'
978;10.0;as'
979;23.0;b''
980;9.0;a'
981;15.0;dis''
982;17.0;f''
983;11.0;b'
984;10.0;as'
985;29.0;f'''
986;16.0;e''
987;31.0;g'''
988;11.0;b'
989;20.0;gis''
990;31.0;g'''
991;24.0;c'''
992;14.0;d''
993;8.0;gis'
994;1.0;cis'
995;16.0;e''
996;33.0;a'''
997;22.0;as''
998;8.0;gis'
999;8.0;gis'
1000;16.0;e''
1001;0.0;c'
1002;18.0;fis''
1003;17.0;f''
1004;27.0;dis'''
1005;11.0;b'
1006;4.0;e'
1007;10.0;as'
1008;13.0;cis''
1009;17.0;f''
1010;23.0;b''
1011;26.0;d'''
1012;12.0;c''
1013;5.0;f'
1014;27.0;dis'''
1015;9.0;a'
1016;25.0;cis'''
1017;19.0;g''
1018;21.0;a''
1019;29.0;f'''
1020;14.0;d''
1021;31.0;g'''
1022;33.0;a'''
1023;9.0;a'
1024;29.0;f'''
1025;30.0;fis'''
1026;18.0;fis''
1027;25.0;cis'''
1028;33.0;a'''
1029;19.0;g''
1030;34.0;as'''
1031;32.0;gis'''
1032;31.0;g'''
1033;1.0;cis'
1034;34.0;as'''
1035;19.0;g''
1036;20.0;gis''
1037;19.0;g''
1038;29.0;f'''
1039;13.0;cis''
1040;10.0;as'
1041;32.0;gis'''
1042;25.0;cis'''
1043;14.0;d''
1044;5.0;f'
1045;9.0;a'
1046;32.0;gis'''
1047;9.0;a'
1048;28.0;e'''
1049;15.0;dis''
1050;1.0;cis'
1051;15.0;dis''
1052;16.0;e''
1053;9.0;a'
1054;25.0;cis'''
1055;3.0;dis'
1056;0.0;c'
1057;17.0;f''
1058;9.0;a'
1059;28.0;e'''
1060;25.0;cis'''
1061;14.0;d''
1062;2.0;d'
1063;12.0;c''
1064;24.0;c'''
1065;9.0;a'
1066;16.0;e''
1067;20.0;gis''
1068;13.0;cis''
1069;31.0;g'''
1070;8.0;gis'
1071;1.0;cis'
1072;22.0;as''
1073;34.0;as'''
1074;12.0;c''
1075;11.0;b'
1076;33.0;a'''
1077;23.0;b''
1078;13.0;cis''
1079;30.0;fis'''
1080;26.0;d'''
1081;15.0;dis''
1082;9.0;a'
1083;22.0;as''
1084;13.0;cis''
1085;7.0;g'
1086;34.0;as'''
1087;6.0;fis'
1088;12.0;c''
1089;9.0;a'
1090;22.0;as''
1091;33.0;a'''
1092;0.0;c'
1093;32.0;gis'''
1094;28.0;e'''
1095;5.0;f'
1096;1.0;cis'
1097;34.0;as'''
1098;16.0;e''
1099;25.0;cis'''
1100;33.0;a'''
1101;12.0;c''
1102;9.0;a'
1103;25.0;cis'''
1104;32.0;gis'''
1105;1.0;cis'
1106;3.0;dis'
1107;24.0;c'''
1108;31.0;g'''
1109;13.0;cis''
1110;18.0;fis''
1111;33.0;a'''
1112;25.0;cis'''
1113;1.0;cis'
1114;18.0;fis''
1115;31.0;g'''
1116;20.0;gis''
1117;22.0;as''
1118;2.0;d'
1119;5.0;f'
1120;13.0;cis''
1121;14.0;d''
1122;19.0;g''
1123;22.0;as''
1124;24.0;c'''
1125;31.0;g'''
1126;2.0;d'
1127;0.0;c'
1128;33.0;a'''
1129;18.0;fis''
1130;11.0;b'
1131;4.0;e'
1132;31.0;g'''
1133;9.0;a'
1134;8.0;gis'
1135;3.0;dis'
1136;24.0;c'''
1137;11.0;b'
1138;4.0;e'
1139;21.0;a''
1140;11.0;b'
1141;5.0;f'
1142;1.0;cis'
1143;23.0;b''
1144;9.0;a'
1145;13.0;cis''
1146;9.0;a'
1147;12.0;c''
1148;21.0;a''
1149;22.0;as''
1150;31.0;g'''
1151;30.0;fis'''
1152;9.0;a'
1153;18.0;fis''
1154;15.0;dis''
1155;18.0;fis''
1156;33.0;a'''
1157;8.0;gis'
1158;6.0;fis'
1159;8.0;gis'
1160;24.0;c'''
1161;9.0;a'
1162;1.0;cis'
1163;5.0;f'
1164;20.0;gis''
1165;29.0;f'''
1166;24.0;c'''
1167;7.0;g'
1168;25.0;cis'''
1169;25.0;cis'''
1170;12.0;c''
1171;5.0;f'
1172;24.0;c'''
1173;27.0;dis'''
1174;2.0;d'
1175;12.0;c''
1176;11.0;b'
1177;29.0;f'''
1178;1.0;cis'
1179;19.0;g''
1180;13.0;cis''
1181;24.0;c'''
1182;16.0;e''
1183;23.0;b''
1184;22.0;as''
1185;14.0;d''
1186;32.0;gis'''
1187;24.0;c'''
1188;14.0;d''
1189;7.0;g'
1190;17.0;f''
1191;15.0;dis''
1192;3.0;dis'
1193;19.0;g''
1194;30.0;fis'''
1195;30.0;fis'''
1196;0.0;c'
1197;0.0;c'
1198;16.0;e''
1199;18.0;fis''
1200;22.0;as''
1201;2.0;d'
1202;8.0;gis'
1203;0.0;c'
1204;12.0;c''
1205;33.0;a'''
1206;26.0;d'''
1207;3.0;dis'
1208;16.0;e''
1209;32.0;gis'''
1210;15.0;dis''
1211;11.0;b'
1212;5.0;f'
1213;0.0;c'
1214;26.0;d'''
1215;15.0;dis''
1216;32.0;gis'''
1217;0.0;c'
1218;24.0;c'''
1219;3.0;dis'
1220;17.0;f''
1221;16.0;e''
1222;20.0;gis''
1223;20.0;gis''
1224;17.0;f''
1225;15.0;dis''
1226;4.0;e'
1227;28.0;e'''
1228;25.0;cis'''
1229;33.0;a'''
1230;16.0;e''
1231;5.0;f'
1232;13.0;cis''
1233;9.0;a'
1234;0.0;c'
1235;21.0;a''
1236;18.0;fis''
1237;21.0;a''
1238;6.0;fis'
1239;12.0;c''
1240;23.0;b''
1241;13.0;cis''
1242;8.0;gis'
1243;6.0;fis'
1244;6.0;fis'
1245;27.0;dis'''
1246;21.0;a''
1247;17.0;f''
1248;6.0;fis'
1249;15.0;dis''
1250;0.0;c'
1251;31.0;g'''
1252;22.0;as''
1253;6.0;fis'
1254;9.0;a'
1255;13.0;cis''
1256;8.0;gis'
1257;26.0;d'''
1258;26.0;d'''
1259;5.0;f'
1260;34.0;as'''
1261;2.0;d'
1262;32.0;gis'''
1263;8.0;gis'
1264;13.0;cis''
1265;33.0;a'''
1266;33.0;a'''
1267;13.0;cis''
1268;8.0;gis'
1269;18.0;fis''
1270;14.0;d''
1271;30.0;fis'''
1272;8.0;gis'
1273;33.0;a'''
1274;7.0;g'
1275;26.0;d'''
1276;8.0;gis'
1277;11.0;b'
1278;20.0;gis''
1279;16.0;e''
1280;12.0;c''
1281;31.0;g'''
1282;18.0;fis''
1283;10.0;as'
1284;12.0;c''
1285;10.0;as'
1286;21.0;a''
1287;8.0;gis'
1288;21.0;a''
1289;32.0;gis'''
1290;20.0;gis''
1291;10.0;as'
1292;22.0;as''
1293;2.0;d'
1294;29.0;f'''
1295;29.0;f'''
1296;10.0;as'
1297;10.0;as'
1298;29.0;f'''
1299;29.0;f'''
1300;29.0;f'''
1301;7.0;g'
1302;20.0;gis''
1303;16.0;e''
1304;23.0;b''
1305;8.0;gis'
1306;32.0;gis'''
1307;10.0;as'
1308;6.0;fis'
1309;25.0;cis'''
1310;34.0;as'''
1311;32.0;gis'''
1312;20.0;gis''
1313;29.0;f'''
1314;11.0;b'
1315;28.0;e'''
1316;8.0;gis'
1317;25.0;cis'''
1318;15.0;dis''
1319;32.0;gis'''
1320;17.0;f''
1321;1.0;cis'
1322;8.0;gis'
1323;11.0;b'
1324;12.0;c''
1325;29.0;f'''
1326;6.0;fis'
1327;5.0;f'
1328;2.0;d'
1329;5.0;f'
1330;3.0;dis'
1331;15.0;dis''
1332;8.0;gis'
1333;30.0;fis'''
1334;7.0;g'
1335;26.0;d'''
1336;32.0;gis'''
1337;6.0;fis'
1338;19.0;g''
1339;4.0;e'
1340;32.0;gis'''
1341;8.0;gis'
1342;28.0;e'''
1343;27.0;dis'''
1344;30.0;fis'''
1345;6.0;fis'
1346;2.0;d'
1347;8.0;gis'
1348;13.0;cis''
1349;1.0;cis'
1350;0.0;c'
1351;21.0;a''
1352;17.0;f''
1353;6.0;fis'
1354;20.0;gis''
1355;21.0;a''
1356;5.0;f'
1357;25.0;cis'''
1358;4.0;e'
1359;1.0;cis'
1360;5.0;f'
1361;2.0;d'
1362;23.0;b''
1363;19.0;g''
1364;7.0;g'
1365;33.0;a'''
1366;14.0;d''
1367;5.0;f'
1368;34.0;as'''
1369;9.0;a'
1370;17.0;f''
1371;27.0;dis'''
1372;31.0;g'''
1373;0.0;c'
1374;17.0;f''
1375;3.0;dis'
1376;33.0;a'''
1377;1.0;cis'
1378;19.0;g''
1379;0.0;c'
1380;17.0;f''
1381;33.0;a'''
1382;6.0;fis'
1383;1.0;cis'
1384;1.0;cis'
1385;8.0;gis'
1386;2.0;d'
1387;8.0;gis'
1388;34.0;as'''
1389;14.0;d''
1390;1.0;cis'
1391;6.0;fis'
1392;30.0;fis'''
1393;25.0;cis'''
1394;28.0;e'''
1395;12.0;c''
1396;32.0;gis'''
1397;8.0;gis'
1398;31.0;g'''
1399;4.0;e'
1400;3.0;dis'
